Date,Time,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (∞C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
21/03/2018,19:50:00,-3.62,-2.093,-4.529,-1.89,-0.045,-0.018,4.07,-1.7,not present,0,0,
21/03/2018,20:00:00,-3.435,-2.186,-4.209,-2.05,-0.042,-0.02,4.07,-1.7,not present,0,0,
21/03/2018,20:10:00,-3.077,-1.9,-3.589,-1.555,-0.035,-0.015,4.06,-1.8,not present,0,0,
21/03/2018,20:20:00,-1.704,-0.531,-1.218,0.81,-0.012,0.008,4.06,-2.4,not present,0,0,
21/03/2018,20:30:00,0.038,1.317,1.794,4.006,0.017,0.04,4.06,-2.7,not present,0,0,
21/03/2018,20:40:00,0.998,1.872,3.454,4.964,0.034,0.049,4.06,-2.9,not present,0,0,
21/03/2018,20:50:00,0.678,1.713,2.9,4.69,0.029,0.046,4.05,-3.1,not present,0,0,
21/03/2018,21:00:00,0.214,1.353,2.098,4.068,0.02,0.04,4.05,-3.2,not present,0,0,
21/03/2018,21:10:00,-0.156,1.083,1.457,3.601,0.014,0.036,4.04,-3.5,not present,0,0,
21/03/2018,21:20:00,-0.449,0.844,0.952,3.187,0.009,0.031,4.04,-3.6,not present,0,0,
21/03/2018,21:30:00,-0.723,0.61,0.478,2.784,0.004,0.027,4.03,-3.7,not present,0,0,
21/03/2018,21:40:00,-0.918,0.316,0.14,2.274,0.001,0.022,4.02,-3.9,not present,0,0,
21/03/2018,21:50:00,-1.207,-0.104,-0.358,1.546,-0.003,0.015,4,-4.19,not present,0,0,
21/03/2018,22:00:00,-1.715,-0.2,-1.236,1.382,-0.012,0.013,3.99,-4.3,not present,0,0,
21/03/2018,22:10:00,-1.683,-0.196,-1.18,1.389,-0.011,0.013,3.98,-4.5,not present,0,0,
21/03/2018,22:20:00,-1.786,-0.49,-1.359,0.88,-0.013,0.008,3.97,-4.69,not present,0,0,
21/03/2018,22:30:00,-1.82,-0.488,-1.417,0.883,-0.014,0.008,3.96,-4.69,not present,0,0,
21/03/2018,22:40:00,-1.961,-0.557,-1.661,0.764,-0.016,0.007,3.95,-4.8,not present,0,0,
21/03/2018,22:50:00,-1.813,-0.655,-1.405,0.595,-0.014,0.005,3.95,-5,not present,0,0,
21/03/2018,23:00:00,-2.099,-0.871,-1.899,0.221,-0.018,0.002,3.94,-5.1,not present,0,0,
21/03/2018,23:10:00,-2.318,-1.019,-2.279,-0.034,-0.022,0,3.94,-5.2,not present,0,0,
21/03/2018,23:20:00,-2.411,-0.997,-2.439,0.004,-0.024,0,3.93,-5.5,not present,0,0,
21/03/2018,23:30:00,-2.219,-1.019,-2.108,-0.034,-0.021,0,3.93,-5.7,not present,0,0,
21/03/2018,23:40:00,-2.374,-1.054,-2.374,-0.094,-0.023,0,3.92,-6,not present,0,0,
21/03/2018,23:50:00,-2.307,-1.179,-2.26,-0.309,-0.022,-0.003,3.92,-6.1,not present,0,0,
22/03/2018,0:00:00,-2.39,-1.317,-2.403,-0.547,-0.024,-0.005,3.92,-6.4,not present,0,0,
22/03/2018,0:10:00,-2.585,-1.324,-2.739,-0.56,-0.027,-0.005,3.91,-6.5,not present,0,0,
22/03/2018,0:20:00,-2.738,-1.469,-3.005,-0.811,-0.03,-0.008,3.91,-6.5,not present,0,0,
22/03/2018,0:30:00,-2.767,-1.49,-3.053,-0.848,-0.03,-0.008,3.91,-6.5,not present,0,0,
22/03/2018,0:40:00,-2.872,-1.425,-3.235,-0.734,-0.032,-0.007,3.9,-6.7,not present,0,0,
22/03/2018,0:50:00,-3.066,-1.634,-3.571,-1.096,-0.035,-0.01,3.9,-6.9,not present,0,0,
22/03/2018,1:00:00,-2.897,-1.485,-3.279,-0.839,-0.032,-0.008,3.9,-7,not present,0,0,
22/03/2018,1:10:00,-3.072,-1.667,-3.581,-1.154,-0.035,-0.011,3.9,-7.2,not present,0,0,
22/03/2018,1:20:00,-3.052,-1.61,-3.547,-1.055,-0.035,-0.01,3.89,-7.3,not present,0,0,
22/03/2018,1:30:00,-3.411,-1.65,-4.167,-1.123,-0.041,-0.011,3.89,-7.4,not present,0,0,
22/03/2018,1:40:00,-3.47,-1.716,-4.269,-1.238,-0.042,-0.012,3.89,-7.5,not present,0,0,
22/03/2018,1:50:00,-3.495,-1.803,-4.313,-1.389,-0.043,-0.013,3.89,-7.6,not present,0,0,
22/03/2018,2:00:00,-3.406,-1.985,-4.158,-1.703,-0.041,-0.017,3.88,-7.7,not present,0,0,
22/03/2018,2:10:00,-3.431,-1.808,-4.203,-1.397,-0.042,-0.013,3.88,-7.7,not present,0,0,
22/03/2018,2:20:00,-3.589,-1.709,-4.475,-1.226,-0.044,-0.012,3.88,-8,not present,0,0,
22/03/2018,2:30:00,-3.513,-1.718,-4.343,-1.241,-0.043,-0.012,3.87,-8,not present,0,0,
22/03/2018,2:40:00,-3.392,-1.783,-4.134,-1.354,-0.041,-0.013,3.87,-8.1,not present,0,0,
22/03/2018,2:50:00,-3.535,-1.799,-4.382,-1.381,-0.043,-0.013,3.87,-8,not present,0,0,
22/03/2018,3:00:00,-3.47,-1.805,-4.269,-1.392,-0.042,-0.013,3.86,-8.2,not present,0,0,
22/03/2018,3:10:00,-3.435,-1.857,-4.208,-1.481,-0.042,-0.014,3.86,-8.2,not present,0,0,
22/03/2018,3:20:00,-3.651,-1.921,-4.582,-1.592,-0.045,-0.015,3.85,-8.3,not present,0,0,
22/03/2018,3:30:00,-3.699,-1.873,-4.664,-1.51,-0.046,-0.015,3.85,-8.3,not present,0,0,
22/03/2018,3:40:00,-3.663,-1.961,-4.602,-1.661,-0.046,-0.016,3.85,-8.5,not present,0,0,
22/03/2018,3:50:00,-3.694,-1.952,-4.657,-1.646,-0.046,-0.016,3.85,-8.6,not present,0,0,
22/03/2018,4:00:00,-3.72,-1.841,-4.702,-1.453,-0.047,-0.014,3.84,-8.6,not present,0,0,
22/03/2018,4:10:00,-3.56,-1.975,-4.426,-1.686,-0.044,-0.016,3.84,-8.6,not present,0,0,
22/03/2018,4:20:00,-3.596,-1.99,-4.487,-1.712,-0.044,-0.017,3.84,-8.7,not present,0,0,
22/03/2018,4:30:00,-3.654,-2.094,-4.587,-1.891,-0.045,-0.018,3.83,-8.8,not present,0,0,
22/03/2018,4:40:00,-3.612,-1.963,-4.514,-1.665,-0.045,-0.016,3.83,-8.8,not present,0,0,
22/03/2018,4:50:00,-3.734,-2.111,-4.725,-1.921,-0.047,-0.019,3.83,-8.89,not present,0,0,
22/03/2018,5:00:00,-3.705,-2.098,-4.676,-1.899,-0.046,-0.018,3.82,-8.89,not present,0,0,
22/03/2018,5:10:00,-3.776,-2.066,-4.799,-1.842,-0.047,-0.018,3.82,-9.1,not present,0,0,
22/03/2018,5:20:00,-3.78,-2.093,-4.805,-1.89,-0.048,-0.018,3.82,-9.2,not present,0,0,
22/03/2018,5:30:00,-3.736,-2.044,-4.728,-1.805,-0.047,-0.018,3.81,-9.1,not present,0,0,
22/03/2018,5:40:00,-3.615,-2.154,-4.519,-1.995,-0.045,-0.019,3.81,-9.2,not present,0,0,
22/03/2018,5:50:00,-4.124,-2.05,-5.4,-1.815,-0.054,-0.018,3.81,-9.3,not present,0,0,
22/03/2018,6:00:00,-4.14,-2.205,-5.427,-2.083,-0.054,-0.02,3.81,-9.3,not present,0,0,
22/03/2018,6:10:00,-4.22,-2.32,-5.565,-2.283,-0.055,-0.022,3.8,-9.39,not present,0,0,
22/03/2018,6:20:00,-4.351,-2.219,-5.791,-2.108,-0.057,-0.021,3.8,-9.5,not present,0,0,
22/03/2018,6:30:00,-4.385,-2.291,-5.85,-2.231,-0.058,-0.022,3.8,-9.39,not present,0,0,
22/03/2018,6:40:00,-4.346,-2.379,-5.784,-2.383,-0.057,-0.023,3.79,-9.5,not present,0,0,
22/03/2018,6:50:00,-4.38,-2.541,-5.842,-2.663,-0.058,-0.026,3.79,-9.7,not present,0,0,
22/03/2018,7:00:00,-4.537,-2.362,-6.113,-2.354,-0.061,-0.023,3.79,-9.6,not present,0,0,
22/03/2018,7:10:00,-4.516,-2.038,-6.077,-1.795,-0.06,-0.017,3.79,-9.3,not present,0,0,
22/03/2018,7:20:00,-4.668,-2.25,-6.339,-2.161,-0.063,-0.021,3.79,-9,not present,0,0,
22/03/2018,7:30:00,-4.908,-2.55,-6.755,-2.679,-0.067,-0.026,3.79,-7.8,not present,0,0,
22/03/2018,7:40:00,-5.007,-2.516,-6.926,-2.62,-0.069,-0.026,3.79,-6.4,not present,0,0,
22/03/2018,7:50:00,-5.349,-2.418,-7.517,-2.451,-0.075,-0.024,3.79,-4.69,not present,0,0,
22/03/2018,8:00:00,-5.412,-2.54,-7.625,-2.661,-0.076,-0.026,3.79,-2.8,not present,0,0,
22/03/2018,8:10:00,-5.86,-2.796,-8.401,-3.104,-0.084,-0.031,3.79,-2.8,not present,0,0,
22/03/2018,8:20:00,-7.592,-2.792,-11.394,-3.098,-0.113,-0.03,3.79,1.1,not present,0,0,
22/03/2018,8:30:00,-8.051,-3.256,-12.187,-3.9,-0.121,-0.039,3.79,3,not present,0,0,
